game_id,away_team,home_team,original_date,week,corrected_date,notes
2024_225,Cleveland Browns,Cincinnati Bengals,2024-12-19,16,,
2024_235,Denver Broncos,Los Angeles Chargers,2024-12-22,16,,
2024_244,Denver Broncos,Cincinnati Bengals TBD TBD,2024-12-28,17,,
2024_245,Arizona Cardinals,Los Angeles Rams TBD TBD,2024-12-28,17,,
2024_246,Los Angeles Chargers,New England Patriots TBD TBD,2024-12-28,17,,
2024_247,Indianapolis Colts,New York Giants TBD TBD,2024-12-28,17,,
2024_248,Atlanta Falcons,Washington Commanders TBD TBD,2024-12-28,17,,
2024_257,San Francisco 49ers,Arizona Cardinals TBD TBD,2025-01-05,18,,
2024_258,Carolina Panthers,Atlanta Falcons TBD TBD,2025-01-05,18,,
2024_259,Cleveland Browns,Baltimore Ravens TBD TBD,2025-01-05,18,,
2024_260,Washington Commanders,Dallas Cowboys TBD TBD,2025-01-05,18,,
2024_261,Kansas City Chiefs,Denver Broncos TBD TBD,2025-01-05,18,,
2024_262,Minnesota Vikings,Detroit Lions TBD TBD,2025-01-05,18,,
2024_263,Chicago Bears,Green Bay Packers TBD TBD,2025-01-05,18,,
2024_264,Jacksonville Jaguars,Indianapolis Colts TBD TBD,2025-01-05,18,,
2024_265,Seattle Seahawks,Los Angeles Rams TBD TBD,2025-01-05,18,,
2024_266,Los Angeles Chargers,Las Vegas Raiders TBD TBD,2025-01-05,18,,
2024_267,Buffalo Bills,New England Patriots TBD TBD,2025-01-05,18,,
2024_268,Miami Dolphins,New York Jets TBD TBD,2025-01-05,18,,
2024_269,New York Giants,Philadelphia Eagles TBD TBD,2025-01-05,18,,
2024_270,Cincinnati Bengals,Pittsburgh Steelers TBD TBD,2025-01-05,18,,
2024_271,New Orleans Saints,Tampa Bay Buccaneers TBD TBD,2025-01-05,18,,
2024_272,Houston Texans,Tennessee Titans TBD TBD,2025-01-05,18,,
