game_id,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
2024_200,Adam Thielen,CAR,11,9,102,0,7,89,9.9,13,1.4,11.8,1,9.0,0,0.0,1,67.4
2024_200,Chuba Hubbard,CAR,5,4,15,0,0,-7,-1.8,22,5.5,-1.0,1,4.0,0,0.0,0,79.2
2024_200,Xavier Legette,CAR,8,2,39,0,1,31,15.5,8,4.0,16.0,1,2.0,1,12.5,0,47.4
2024_200,David Moore,CAR,5,2,25,0,1,18,9.0,7,3.5,11.6,0,,0,0.0,0,56.2
2024_200,Deven Thompkins,CAR,1,1,7,0,1,6,6.0,1,1.0,6.0,0,,0,0.0,0,95.8
2024_200,Tommy Tremble,CAR,2,1,3,1,1,2,2.0,1,1.0,4.5,0,,0,0.0,0,95.8
2024_200,Ja'Tavion Sanders,CAR,1,0,0,0,,0,,0,,39.0,0,,0,0.0,0,39.6
2024_200,A.J. Brown,PHI,4,4,43,0,4,32,8.0,11,2.8,8.0,1,4.0,0,0.0,0,111.5
2024_200,DeVonta Smith,PHI,6,4,37,1,2,19,4.8,18,4.5,6.2,0,,0,0.0,0,122.9
2024_200,Grant Calcaterra,PHI,3,3,16,1,1,10,3.3,6,2.0,3.3,0,,0,0.0,0,128.5
2024_200,Kenneth Gainwell,PHI,2,2,7,0,0,3,1.5,4,2.0,1.5,0,,0,0.0,0,81.2
2024_200,Jahan Dotson,PHI,2,1,5,0,,1,1.0,4,4.0,5.5,0,,0,0.0,0,56.2
2024_200,Saquon Barkley,PHI,1,0,0,0,0,0,,0,,0.0,0,,0,0.0,0,39.6
2024_200,Johnny Wilson,PHI,1,0,0,0,,0,,0,,19.0,0,,0,0.0,0,39.6
2024_116,Rome Odunze,CHI,6,3,41,0,2,25,8.3,16,5.3,21.0,0,,0,0.0,0,72.2
2024_116,Keenan Allen,CHI,7,2,39,0,2,26,13.0,13,6.5,13.7,0,,0,0.0,0,50.3
2024_116,D.J. Moore,CHI,4,2,27,0,1,27,13.5,0,0.0,9.8,0,,0,0.0,0,71.9
2024_116,DeAndre Carter,CHI,1,1,7,0,,6,6.0,1,1.0,6.0,0,,0,0.0,0,95.8
2024_116,Gerald Everett,CHI,2,1,3,0,,1,1.0,2,2.0,2.0,0,,0,0.0,0,56.2
2024_116,Cole Kmet,CHI,1,1,14,0,1,7,7.0,7,7.0,7.0,0,,0,0.0,0,118.7
2024_116,Marcedes Lewis,CHI,1,0,0,0,,0,,0,,13.0,0,,0,0.0,0,39.6
2024_116,Zach Ertz,WAS,11,7,77,0,6,63,9.0,14,2.0,9.5,0,,0,0.0,0,84.3
2024_116,Terry McLaurin,WAS,8,5,125,0,5,104,20.8,21,4.2,22.0,0,,0,0.0,0,106.2
2024_116,Noah Brown,WAS,6,3,73,1,2,73,24.3,0,0.0,20.7,0,,1,16.7,0,134.0
2024_116,Austin Ekeler,WAS,3,2,6,0,0,-8,-4.0,14,7.0,-1.0,0,,1,33.3,0,70.1
2024_116,John Bates,WAS,2,1,20,0,1,1,1.0,19,19.0,3.5,1,1.0,0,0.0,0,85.4
2024_116,Dyami Brown,WAS,1,1,6,0,,-4,-4.0,10,10.0,-4.0,0,,0,0.0,0,91.7
2024_116,Luke McCaffrey,WAS,2,1,8,0,,1,1.0,7,7.0,4.5,0,,0,0.0,0,60.4
2024_116,Brian Robinson Jr.,WAS,1,1,11,0,1,-6,-6.0,17,17.0,-6.0,0,,0,0.0,0,112.5
2024_210,CeeDee Lamb,DAL,13,9,116,1,6,47,5.2,69,7.7,2.5,0,,0,0.0,0,122.6
2024_210,Brandin Cooks,DAL,5,3,34,0,2,34,11.3,0,0.0,6.4,0,,1,20.0,0,80.4
2024_210,Jake Ferguson,DAL,4,2,23,0,,6,3.0,17,8.5,4.8,1,2.0,1,25.0,0,67.7
2024_210,Jalen Brooks,DAL,1,1,17,1,1,17,17.0,0,0.0,17.0,0,,0,0.0,0,158.3
2024_210,Ezekiel Elliott,DAL,1,1,11,0,1,-2,-2.0,13,13.0,-2.0,0,,0,0.0,0,112.5
2024_210,Brevyn Spann-Ford,DAL,1,1,2,0,,1,1.0,1,1.0,1.0,0,,0,0.0,0,79.2
2024_210,Jalen Tolbert,DAL,2,1,11,1,1,11,11.0,0,0.0,10.5,0,,0,0.0,0,106.2
2024_210,KaVontae Turpin,DAL,1,0,0,0,0,0,,0,,-3.0,0,,0,0.0,0,39.6
2024_210,Adam Thielen,CAR,7,5,51,0,1,25,5.0,26,5.2,8.9,0,,0,0.0,2,52.4
2024_210,Jalen Coker,CAR,6,4,110,1,2,50,12.5,60,15.0,12.0,0,,0,0.0,0,149.3
2024_210,Chuba Hubbard,CAR,4,4,17,0,3,0,0.0,17,4.3,0.0,0,,0,0.0,0,84.4
2024_210,Xavier Legette,CAR,3,2,7,0,,4,2.0,3,1.5,16.0,0,,0,0.0,0,70.1
2024_210,David Moore,CAR,4,2,19,0,1,8,4.0,11,5.5,4.3,1,2.0,1,25.0,0,63.5
2024_210,Tommy Tremble,CAR,2,2,15,0,,9,4.5,6,3.0,4.5,0,,0,0.0,0,97.9
2024_210,Ja'Tavion Sanders,CAR,1,0,0,0,,0,,0,,2.0,0,,0,0.0,0,39.6
2024_162,Jaxon Smith-Njigba,SEA,11,10,110,0,6,82,8.2,28,2.8,9.4,0,,0,0.0,1,70.5
2024_162,D.K. Metcalf,SEA,9,7,70,0,3,69,9.9,1,0.1,5.3,0,,0,0.0,0,99.1
2024_162,AJ Barner,SEA,4,2,15,0,,5,2.5,10,5.0,7.5,1,2.0,1,25.0,0,59.4
2024_162,Zach Charbonnet,SEA,2,2,2,0,0,-7,-3.5,9,4.5,-3.5,0,,0,0.0,0,79.2
2024_162,Tyler Lockett,SEA,3,2,19,0,1,11,5.5,8,4.0,14.0,0,,0,0.0,0,84.0
2024_162,Kenneth Walker III,SEA,2,2,5,0,0,-7,-3.5,12,6.0,-3.5,0,,0,0.0,0,79.2
2024_162,Jauan Jennings,SFO,11,10,91,1,7,68,6.8,23,2.3,6.5,0,,0,0.0,0,131.4
2024_162,Christian McCaffrey,SFO,5,4,27,0,1,16,4.0,11,2.8,4.0,0,,0,0.0,1,49.6
2024_162,Deebo Samuel,SFO,7,4,22,0,2,5,1.3,17,4.3,4.1,0,,0,0.0,0,62.8
2024_162,Kyle Juszczyk,SFO,2,2,12,0,,10,5.0,2,1.0,5.0,0,,0,0.0,0,91.7
2024_162,Eric Saubert,SFO,1,1,7,0,,7,7.0,0,0.0,7.0,0,,0,0.0,0,95.8
2024_162,Ricky Pearsall,SFO,2,0,0,0,,0,,0,,8.0,0,,0,0.0,0,39.6
2024_014,Austin Ekeler,WAS,4,4,52,0,2,-3,-0.8,55,13.8,-0.8,2,2.0,0,0.0,0,118.7
2024_014,Zach Ertz,WAS,4,3,28,0,1,21,7.0,7,2.3,7.0,0,,0,0.0,0,93.7
2024_014,Luke McCaffrey,WAS,3,3,18,0,1,-2,-0.7,20,6.7,-0.7,0,,0,0.0,0,91.7
2024_014,Brian Robinson Jr.,WAS,4,3,49,0,1,1,0.3,48,16.0,0.0,1,3.0,0,0.0,0,115.6
2024_014,Terry McLaurin,WAS,4,2,17,0,1,3,1.5,14,7.0,20.0,0,,0,0.0,0,61.5
2024_014,Jamison Crowder,WAS,1,1,5,0,,-3,-3.0,8,8.0,-3.0,0,,0,0.0,0,87.5
2024_014,Olamide Zaccheaus,WAS,3,1,15,0,1,13,13.0,2,2.0,9.3,0,,1,33.3,0,50.7
2024_014,John Bates,WAS,1,0,0,0,,0,,0,,-3.0,0,,0,0.0,0,39.6
2024_014,Chris Godwin,TAM,8,8,83,1,7,35,4.4,48,6.0,4.4,0,,0,0.0,0,149.5
2024_014,Rachaad White,TAM,6,6,75,0,2,-31,-5.2,106,17.7,-5.2,1,6.0,0,0.0,0,118.7
2024_014,Mike Evans,TAM,6,5,61,2,4,53,10.6,8,1.6,10.7,0,,0,0.0,0,148.6
2024_014,Bucky Irving,TAM,3,2,14,0,0,-4,-2.0,18,9.0,2.0,0,,0,0.0,0,77.1
2024_014,Jalen McMillan,TAM,3,1,32,1,1,29,29.0,3,3.0,18.0,0,,1,33.3,0,113.9
2024_014,Cade Otton,TAM,2,1,5,0,,2,2.0,3,3.0,3.0,0,,0,0.0,0,56.2
2024_014,Trey Palmer,TAM,2,1,19,0,1,18,18.0,1,1.0,13.0,0,,0,0.0,0,83.3
2024_220,Mike Evans,TAM,11,9,159,2,5,102,11.3,57,6.3,12.4,1,9.0,0,0.0,1,120.5
2024_220,Jalen McMillan,TAM,6,5,75,1,3,62,12.4,13,2.6,12.7,0,,0,0.0,0,158.3
2024_220,Bucky Irving,TAM,2,2,-4,0,0,-7,-3.5,3,1.5,-3.5,0,,0,0.0,0,79.2
2024_220,Cade Otton,TAM,3,2,24,0,2,9,4.5,15,7.5,12.3,0,,0,0.0,0,91.0
2024_220,Rachaad White,TAM,2,2,17,1,1,-11,-5.5,28,14.0,-5.5,0,,0,0.0,0,141.7
2024_220,Ryan Miller,TAM,1,1,1,0,,-2,-2.0,3,3.0,-2.0,0,,0,0.0,0,79.2
2024_220,Sterling Shepard,TAM,1,1,16,0,1,15,15.0,1,1.0,15.0,0,,0,0.0,0,118.7
2024_220,Quentin Johnston,LAC,10,5,45,1,3,23,4.6,22,4.4,10.9,4,1.3,0,0.0,1,56.2
2024_220,Ladd McConkey,LAC,7,5,58,1,4,45,9.0,13,2.6,8.0,0,,2,28.6,0,135.7
