game_id,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
2024_200,Chuba Hubbard,CAR,26,92,1,5,53,2.0,39,1.5,3,8.7
2024_200,Bryce Young,CAR,7,29,0,2,28,4.0,1,0.1,0,
2024_200,Jonathon Brooks,CAR,1,-3,0,,-3,-3.0,0,0.0,0,
2024_200,Saquon Barkley,PHI,20,124,0,6,85,4.3,39,2.0,1,20.0
2024_200,Jalen Hurts,PHI,8,59,1,4,42,5.3,17,2.1,1,8.0
2024_200,Kenneth Gainwell,PHI,3,26,0,1,14,4.7,12,4.0,1,3.0
2024_116,D'Andre Swift,CHI,18,129,1,4,48,2.7,81,4.5,0,
2024_116,Caleb Williams,CHI,9,47,0,2,41,4.6,6,0.7,0,
2024_116,Roschon Johnson,CHI,2,6,1,1,4,2.0,2,1.0,0,
2024_116,D.J. Moore,CHI,2,7,0,0,6,3.0,1,0.5,0,
2024_116,Rome Odunze,CHI,2,13,0,1,5,2.5,8,4.0,0,
2024_116,Brian Robinson Jr.,WAS,16,65,0,3,42,2.6,23,1.4,0,
2024_116,Jayden Daniels,WAS,8,52,0,2,49,6.1,3,0.4,0,
2024_116,Austin Ekeler,WAS,7,52,0,1,39,5.6,13,1.9,0,
2024_116,Jeremy McNichols,WAS,1,-1,0,,-1,-1.0,0,0.0,0,
2024_210,Rico Dowdle,DAL,25,149,0,7,69,2.8,80,3.2,2,12.5
2024_210,Ezekiel Elliott,DAL,9,30,0,3,11,1.2,19,2.1,1,9.0
2024_210,Cooper Rush,DAL,4,5,0,0,5,1.3,0,0.0,0,
2024_210,KaVontae Turpin,DAL,2,27,0,2,12,6.0,15,7.5,2,1.0
2024_210,Chuba Hubbard,CAR,10,32,0,2,13,1.3,19,1.9,1,10.0
2024_210,Bryce Young,CAR,3,12,1,1,12,4.0,0,0.0,0,
2024_210,Mike Boone,CAR,2,14,0,1,8,4.0,6,3.0,0,
2024_210,Xavier Legette,CAR,1,2,0,,2,2.0,0,0.0,0,
2024_162,Kenneth Walker III,SEA,14,54,1,4,13,0.9,41,2.9,4,3.5
2024_162,Zach Charbonnet,SEA,4,3,0,1,0,0.0,3,0.8,0,
2024_162,Geno Smith,SEA,4,29,1,2,29,7.3,0,0.0,0,
2024_162,Jaxon Smith-Njigba,SEA,1,8,0,1,4,4.0,4,4.0,0,
2024_162,Christian McCaffrey,SFO,19,79,0,5,42,2.2,37,1.9,0,
2024_162,Brock Purdy,SFO,5,40,1,3,34,6.8,6,1.2,0,
2024_162,Jordan Mason,SFO,2,13,0,1,11,5.5,2,1.0,0,
2024_162,Deebo Samuel,SFO,1,-1,0,0,-1,-1.0,0,0.0,0,
2024_014,Jayden Daniels,WAS,16,88,2,8,73,4.6,15,0.9,0,
2024_014,Brian Robinson Jr.,WAS,12,40,1,3,20,1.7,20,1.7,0,
2024_014,Austin Ekeler,WAS,2,10,0,1,4,2.0,6,3.0,0,
2024_014,Rachaad White,TAM,15,31,0,1,-2,-0.1,33,2.2,0,
2024_014,Bucky Irving,TAM,9,62,0,2,51,5.7,11,1.2,0,
2024_014,Baker Mayfield,TAM,3,21,0,1,11,3.7,10,3.3,0,
2024_014,Kyle Trask,TAM,2,-2,0,,-2,-1.0,0,0.0,0,
2024_014,Kameron Johnson,TAM,1,0,0,,0,0.0,0,0.0,0,
2024_220,Bucky Irving,TAM,15,117,0,3,37,2.5,80,5.3,1,15.0
2024_220,Rachaad White,TAM,15,64,0,3,28,1.9,36,2.4,2,7.5
2024_220,Sean Tucker,TAM,7,17,0,2,6,0.9,11,1.6,0,
2024_220,Baker Mayfield,TAM,2,25,0,1,21,10.5,4,2.0,1,2.0
2024_220,Gus Edwards,LAC,8,23,0,1,9,1.1,14,1.8,2,4.0
2024_220,Kimani Vidal,LAC,3,9,0,0,6,2.0,3,1.0,1,3.0
2024_168,Kareem Hunt,KAN,16,68,0,4,37,2.3,31,1.9,0,
2024_168,Patrick Mahomes,KAN,5,60,0,3,57,11.4,3,0.6,0,
2024_168,Mecole Hardman,KAN,2,15,0,,5,2.5,10,5.0,2,1.0
2024_168,Samaje Perine,KAN,1,13,0,1,9,9.0,4,4.0,0,
2024_168,Carson Steele,KAN,1,4,0,,1,1.0,3,3.0,0,
2024_168,Xavier Worthy,KAN,1,5,0,0,2,2.0,3,3.0,0,
2024_168,Chuba Hubbard,CAR,16,58,1,5,26,1.6,32,2.0,1,16.0
2024_168,Bryce Young,CAR,3,20,0,1,16,5.3,4,1.3,0,
2024_168,Jonathon Brooks,CAR,2,7,0,,4,2.0,3,1.5,0,
2024_198,Bijan Robinson,ATL,22,92,1,5,26,1.2,66,3.0,2,11.0
2024_198,Tyler Allgeier,ATL,9,63,1,5,17,1.9,46,5.1,2,4.5
2024_198,Ray-Ray McCloud,ATL,1,3,0,0,0,0.0,3,3.0,0,
2024_198,Aaron Jones,MIN,13,73,1,3,36,2.8,37,2.8,4,3.3
2024_198,Cam Akers,MIN,5,37,0,2,7,1.4,30,6.0,3,1.7
