player_name,team,age,position,projected_ppr,last_season_ppr,ppr_delta,ppr_delta_pct,projected_rank,adp_rank,draft_value,trajectory_trend,snap_share,adp,value_score
Pat Freiermuth,PIT,26,TE,381.83,164.5,217.33,131.32,1.0,,,8.95,0.8,,
Trey McBride,ARI,25,TE,330.62,241.8,88.82,36.58,2.0,,,7.25,0.89,,
Isaiah Likely,BAL,24,TE,322.79,17.3,305.49,1669.34,3.0,,,4.7,0.8,,
Zach Ertz,WAS,34,TE,319.98,35.2,284.78,786.68,4.0,,,3.0,0.8,,
Sam LaPorta,DET,23,TE,318.84,17.1,301.74,1667.09,5.0,,,-0.65,0.97,,
Tyler Higbee,LA,31,TE,308.39,18.4,289.99,1494.81,6.0,,,7.75,0.82,,
Jonnu Smith,MIA,29,TE,299.4,221.3,78.1,35.13,7.0,,,2.7,0.6,,
Noah Fant,SEA,27,TE,292.2,98.0,194.2,196.16,8.0,,,5.65,0.64,,
Jordan Akins,CLE,32,TE,287.15,89.0,198.15,220.17,9.0,,,8.1,0.69,,
A.J. Barner,SEA,22,TE,269.93,76.5,193.43,249.59,10.0,,,6.45,0.56,,
Will Dissly,LAC,28,TE,257.32,110.1,147.22,132.51,11.0,,,5.65,0.57,,
Mike Gesicki,CIN,29,TE,254.11,140.5,113.61,80.29,12.0,,,5.7,0.69,,
Juwan Johnson,NO,28,TE,241.01,120.8,120.21,98.7,13.0,,,4.65,0.79,,
Brock Bowers,LV,22,TE,221.96,252.7,-30.74,-12.12,14.0,,,-2.95,0.94,,
Theo Johnson,NYG,23,TE,192.75,66.1,126.65,188.75,15.0,,,2.35,0.89,,
Tommy Tremble,CAR,24,TE,188.09,53.4,134.69,247.59,16.0,,,3.75,0.6,,
Chigoziem Okonkwo,TEN,25,TE,185.93,103.0,82.93,79.74,17.0,,,0.5,0.74,,
Brenton Strange,JAX,24,TE,184.21,90.1,94.11,103.3,18.0,,,4.4,0.72,,
David Njoku,CLE,28,TE,180.42,138.5,41.92,30.05,19.0,,,-6.8,0.62,,
Dalton Schultz,HOU,28,TE,175.4,10.3,165.1,1461.05,20.0,,,3.1,0.78,,
Tyler Conklin,NYJ,29,TE,162.05,119.9,42.15,34.86,21.0,,,-0.65,0.22,,
Colby Parkinson,LA,25,TE,151.14,8.9,142.24,1436.73,22.0,,,4.45,0.06,,
Taysom Hill,NO,34,TE,145.14,72.12,73.02,99.86,23.0,,,-2.35,0.59,,
Mark Andrews,BAL,29,TE,144.14,8.4,135.74,1444.01,24.0,,,-3.2,0.69,,
Tucker Kraft,GB,24,TE,130.46,158.3,-27.84,-17.48,25.0,,,-0.95,0.95,,
Foster Moreau,NO,27,TE,125.89,101.3,24.59,24.04,26.0,,,1.9,0.79,,
Devin Culp,TB,24,TE,123.66,13.8,109.86,742.32,27.0,,,,0.24,,
Ja'Tavion Sanders,CAR,21,TE,122.04,73.2,48.84,65.83,28.0,,,3.25,0.51,,
Evan Engram,JAX,30,TE,121.94,86.5,35.44,40.5,29.0,,,-0.25,0.71,,
Payne Durham,TB,24,TE,118.21,34.5,83.71,235.79,30.0,,,0.85,0.81,,
Josh Whyle,TEN,25,TE,115.62,39.0,76.62,191.55,31.0,,,3.3,0.6,,
Michael Mayer,LV,23,TE,114.78,30.5,84.28,267.55,32.0,,,3.05,0.8,,
Travis Kelce,KC,35,TE,113.29,36.5,76.79,204.78,33.0,,,-8.4,0.95,,
Austin Hooper,NE,30,TE,111.31,103.6,7.71,7.37,34.0,,,-0.4,0.67,,
Eric Saubert,SF,30,TE,96.67,25.0,71.67,275.65,35.0,,,2.15,0.64,,
Nate Adkins,DEN,25,TE,93.08,43.5,49.58,111.42,36.0,,,0.85,0.59,,
Drew Sample,CIN,28,TE,89.86,36.5,53.36,142.3,37.0,,,1.6,0.55,,
George Kittle,SF,31,TE,82.65,176.9,-94.25,-52.98,38.0,,,-6.95,0.29,,
Erick All,CIN,24,TE,82.65,35.8,46.85,127.31,39.0,,,2.2,0.2,,
Dallas Goedert,PHI,29,TE,80.94,4.7,76.24,1337.5,40.0,,,-0.6,0.84,,
Elijah Higgins,ARI,24,TE,78.35,49.2,29.15,58.06,41.0,,,1.4,0.28,,
Luke Musgrave,GB,24,TE,77.83,5.2,72.63,1171.51,42.0,,,1.35,0.33,,
MyCole Pruitt,PIT,32,TE,76.72,14.0,62.72,418.1,43.0,,,0.5,0.23,,
Nick Vannett,TEN,31,TE,74.27,46.5,27.77,58.45,44.0,,,1.45,0.37,,
Stone Smartt,LAC,26,TE,74.23,33.8,40.43,116.18,45.0,,,-1.35,0.33,,
Cade Otton,TB,25,TE,72.34,133.6,-61.26,-45.51,46.0,,,0.2,0.92,,
