player_name,team,age,position,projected_ppr,last_season_ppr,ppr_delta,ppr_delta_pct,projected_rank,adp_rank,draft_value,trajectory_trend,snap_share,adp,value_score
Drake London,ATL,23,WR,759.95,264.8,495.15,186.29,1.0,,,14.9,0.99,,
Xavier Worthy,KC,21,WR,668.56,66.5,602.06,891.95,2.0,,,13.5,0.91,,
Quentin Johnston,LAC,23,WR,589.33,172.7,416.63,239.86,3.0,,,13.4,0.73,,
Rashee Rice,KC,24,WR,547.33,62.9,484.43,758.11,4.0,,,6.9,0.74,,
Jakobi Meyers,LV,28,WR,468.46,174.3,294.16,167.81,5.0,,,10.6,0.94,,
Kayshon Boutte,NE,22,WR,450.67,114.7,335.97,290.38,6.0,,,2.1,0.7,,
Marvin Mims,DEN,22,WR,412.0,125.3,286.7,227.0,7.0,,,6.3,0.31,,
Ja'Marr Chase,CIN,24,WR,393.52,389.0,4.52,1.16,8.0,,,0.6,0.99,,
Tank Dell,HOU,25,WR,371.21,134.0,237.21,175.71,9.0,,,9.25,0.51,,
Amon-Ra St. Brown,DET,25,WR,367.89,21.7,346.19,1525.07,10.0,,,-2.15,0.96,,
Mike Evans,TB,31,WR,363.43,230.4,133.03,57.49,11.0,,,2.0,0.88,,
Josh Downs,IND,23,WR,358.38,176.2,182.18,102.81,12.0,,,2.15,0.76,,
Greg Dortch,ARI,26,WR,357.09,95.3,261.79,271.85,13.0,,,8.85,0.45,,
Jalen McMillan,TB,23,WR,351.31,123.4,227.91,183.2,14.0,,,2.15,0.88,,
Courtland Sutton,DEN,29,WR,346.43,229.3,117.13,50.86,15.0,,,5.4,0.65,,
Malik Nabers,NYG,21,WR,329.35,267.6,61.75,22.99,16.0,,,2.8,0.7,,
Marvin Harrison,ARI,22,WR,322.9,187.5,135.4,71.83,17.0,,,4.7,0.74,,
Ricky Pearsall,SF,24,WR,317.06,53.4,263.66,484.66,18.0,,,4.6,0.92,,
Jalen Tolbert,DAL,25,WR,314.03,148.0,166.03,111.43,19.0,,,1.9,0.72,,
Alec Pierce,IND,24,WR,303.47,153.4,150.07,97.19,20.0,,,7.85,0.82,,
D.J. Moore,CHI,27,WR,297.33,229.1,68.23,29.65,21.0,,,3.55,0.98,,
Davante Adams,NYJ,32,WR,296.96,223.9,73.06,32.49,22.0,,,-0.5,0.92,,
Puka Nacua,LA,23,WR,296.33,25.8,270.53,1009.46,23.0,,,-3.6,0.89,,
CeeDee Lamb,DAL,25,WR,296.27,248.4,47.87,19.2,24.0,,,-0.95,0.55,,
Ladd McConkey,LAC,23,WR,293.14,176.6,116.54,65.62,25.0,,,0.1,0.68,,
Brian Thomas,JAX,22,WR,289.78,270.0,19.78,7.3,26.0,,,-6.45,0.9,,
DeVonta Smith,PHI,26,WR,280.81,31.5,249.31,767.1,27.0,,,5.4,0.77,,
Wan'Dale Robinson,NYG,23,WR,261.66,178.7,82.96,46.17,28.0,,,1.55,0.74,,
Mack Hollins,BUF,31,WR,261.23,18.5,242.73,1244.75,29.0,,,5.4,0.67,,
Rashod Bateman,BAL,25,WR,254.76,14.6,240.16,1539.51,30.0,,,6.2,0.63,,
Romeo Doubs,GB,24,WR,242.3,106.2,136.1,126.96,31.0,,,-3.1,0.86,,
Devaughn Vele,DEN,27,WR,240.54,106.5,134.04,124.69,32.0,,,2.45,0.51,,
Michael Pittman,IND,27,WR,236.55,156.8,79.75,50.54,33.0,,,4.65,0.91,,
Nico Collins,HOU,25,WR,235.53,13.1,222.43,1577.54,34.0,,,2.1,0.82,,
DK Metcalf,SEA,27,WR,228.58,185.2,43.38,23.3,35.0,,,0.8,0.89,,
Jerry Jeudy,CLE,25,WR,215.69,230.9,-15.21,-6.56,36.0,,,4.15,0.95,,
Stefon Diggs,HOU,31,WR,210.07,119.92,90.15,74.56,37.0,,,-3.5,0.54,,
Chris Godwin,TB,28,WR,208.95,135.8,73.15,53.47,38.0,,,-0.05,0.85,,
Allen Lazard,NYJ,29,WR,207.12,115.3,91.82,78.95,39.0,,,-3.65,0.89,,
Justin Jefferson,MIN,25,WR,201.94,307.48,-105.54,-34.21,40.0,,,-14.0,0.98,,
Ainias Smith,PHI,23,WR,200.04,13.9,186.14,1249.27,41.0,,,,0.69,,
A.J. Brown,PHI,27,WR,199.08,36.3,162.78,436.4,42.0,,,3.95,0.88,,
Terry McLaurin,WAS,29,WR,197.65,30.8,166.85,524.7,43.0,,,-4.05,0.86,,
Khalil Shakir,BUF,24,WR,196.4,23.3,173.1,712.35,44.0,,,2.55,0.78,,
Jameson Williams,DET,23,WR,193.68,11.0,182.68,1522.33,45.0,,,-1.7,0.88,,
Adam Thielen,CAR,34,WR,188.82,22.9,165.92,694.21,46.0,,,3.55,0.31,,
Cooper Kupp,LA,31,WR,184.8,15.0,169.8,1061.22,47.0,,,3.6,0.96,,
Demarcus Robinson,LA,30,WR,179.48,10.4,169.08,1483.2,48.0,,,5.2,0.9,,
Jauan Jennings,SF,27,WR,178.7,204.5,-25.8,-12.55,49.0,,,1.55,0.33,,
Calvin Ridley,TEN,30,WR,178.59,190.2,-11.61,-6.07,50.0,,,-2.25,0.53,,
Dontayvion Wicks,GB,23,WR,177.88,106.5,71.38,66.4,51.0,,,-0.2,0.74,,
Garrett Wilson,NYJ,24,WR,172.55,237.9,-65.35,-27.35,52.0,,,-1.15,0.98,,
Xavier Hutchinson,HOU,24,WR,169.67,9.2,160.47,1573.22,53.0,,,3.55,0.62,,
Tee Higgins,CIN,25,WR,165.82,219.1,-53.28,-24.21,54.0,,,-5.25,0.68,,
Dante Pettis,NO,29,WR,163.95,16.8,147.15,826.7,55.0,,,4.8,0.3,,
Deebo Samuel,SF,28,WR,162.16,119.7,42.46,35.18,56.0,,,2.1,0.83,,
Malik Washington,MIA,23,WR,161.51,56.8,104.71,181.16,57.0,,,1.5,0.61,,
Chris Conley,SF,32,WR,159.6,11.6,148.0,1174.58,58.0,,,4.95,0.5,,
Jalen Nailor,MIN,25,WR,153.56,105.0,48.56,45.81,59.0,,,3.4,0.49,,
Malik Heath,GB,24,WR,152.48,31.7,120.78,369.36,60.0,,,-0.6,0.6,,
Ray-Ray McCloud,ATL,28,WR,150.76,135.5,15.26,11.18,61.0,,,1.45,1.0,,
Nick Westbrook-Ikhine,TEN,27,WR,146.19,129.7,16.49,12.61,62.0,,,-0.35,0.97,,
Zay Jones,ARI,29,WR,145.04,14.4,130.64,848.29,63.0,,,3.65,0.58,,
Darnell Mooney,ATL,27,WR,137.54,189.2,-51.66,-27.16,64.0,,,2.85,0.97,,
Josh Palmer,LAC,25,WR,137.03,93.9,43.13,45.45,65.0,,,2.55,0.38,,
Michael Wilson,ARI,24,WR,133.32,117.5,15.82,13.35,66.0,,,2.0,0.87,,
Parker Washington,JAX,22,WR,131.85,87.0,44.85,50.96,67.0,,,-0.95,0.86,,
Amari Cooper,BUF,30,WR,127.56,7.3,120.26,1448.96,68.0,2.0,-66.0,-3.65,0.44,290.7,0.44
Jahan Dotson,PHI,24,WR,124.42,6.2,118.22,1641.88,69.0,,,3.1,0.59,,
Josh Reynolds,DEN,29,WR,122.63,36.3,86.33,231.44,70.0,,,1.15,0.48,,
Jake Bobo,SEA,26,WR,122.42,29.7,92.72,302.01,71.0,,,2.8,0.31,,
Xavier Legette,CAR,23,WR,120.39,123.1,-2.71,-2.18,72.0,,,1.55,0.42,,
Demario Douglas,NE,24,WR,119.57,143.7,-24.13,-16.68,73.0,,,-0.75,0.75,,
Curtis Samuel,BUF,28,WR,117.38,10.3,107.08,947.58,74.0,,,-2.4,0.19,,
David Moore,CAR,29,WR,115.09,85.1,29.99,34.84,75.0,,,-2.0,0.57,,
Marquez Valdes-Scantling,NO,30,WR,114.34,37.5,76.84,199.59,76.0,,,-1.25,0.7,,
Noah Brown,WAS,28,WR,114.07,84.3,29.77,34.9,77.0,,,3.15,0.46,,
Olamide Zaccheaus,WAS,27,WR,113.27,6.6,106.67,1403.5,78.0,,,-0.25,0.72,,
DeAndre Hopkins,KC,32,WR,112.6,9.9,102.7,942.2,79.0,,,3.9,0.38,,
Christian Kirk,JAX,28,WR,109.72,66.9,42.82,63.06,80.0,,,0.5,0.65,,
Jaxon Smith-Njigba,SEA,22,WR,99.82,245.0,-145.18,-59.02,81.0,,,-9.35,0.95,,
Tre Tucker,LV,23,WR,94.3,127.3,-33.0,-25.72,82.0,,,0.05,0.8,,
Jacob Cowing,SF,23,WR,93.4,10.7,82.7,706.85,83.0,,,-0.65,0.66,,
Elijah Moore,CLE,24,WR,93.23,104.9,-11.67,-11.02,84.0,,,0.25,0.95,,
Jaylen Waddle,MIA,26,WR,92.79,141.9,-49.11,-34.37,85.0,,,-6.95,0.9,,
Trey Palmer,TB,23,WR,91.06,35.2,55.86,154.32,86.0,,,1.15,0.18,,
Jayden Reed,GB,24,WR,88.84,196.0,-107.16,-54.4,87.0,,,-3.5,0.69,,
D.J. Chark,LAC,28,WR,88.04,11.2,76.84,629.87,88.0,,,2.0,0.49,,
Cedrick Wilson,NO,29,WR,87.32,51.94,35.38,66.82,89.0,,,1.45,0.45,,
Bub Means,NO,23,WR,85.11,26.8,58.31,209.75,90.0,,,-5.45,0.19,,
Jonathan Mingo,DAL,23,WR,81.78,27.4,54.38,191.49,91.0,,,2.2,0.35,,
Dyami Brown,WAS,25,WR,81.29,20.0,61.29,291.86,92.0,,,-0.6,0.77,,
Van Jefferson,PIT,28,WR,79.5,63.6,15.9,24.61,93.0,,,0.05,0.67,,
Lil'Jordan Humphrey,DEN,26,WR,73.12,59.3,13.82,22.92,94.0,,,1.1,0.32,,
Ben Skowronek,PIT,27,WR,72.67,10.5,62.17,540.59,95.0,,,0.6,0.17,,
Brandon Aiyuk,SF,26,WR,71.68,57.9,13.78,23.4,96.0,,,-8.2,0.4,,
Rome Odunze,CHI,22,WR,71.23,141.9,-70.67,-49.46,97.0,,,-2.45,0.89,,
John Metchie,HOU,24,WR,69.53,39.2,30.33,75.44,98.0,,,2.05,0.42,,
Tyreek Hill,MIA,30,WR,68.99,212.2,-143.21,-67.17,99.0,,,-3.95,0.39,,
Mike Williams,PIT,30,WR,68.26,52.8,15.46,28.74,100.0,,,-0.95,0.23,,
Tyquan Thornton,NE,24,WR,67.35,6.7,60.65,787.69,101.0,,,2.0,0.18,,
Anthony Gould,IND,23,WR,64.83,3.3,61.53,1430.86,102.0,,,,0.05,,
KhaDarel Hodge,ATL,29,WR,64.48,26.1,38.38,141.61,103.0,,,-0.4,0.9,,
Tyler Lockett,SEA,32,WR,63.74,113.0,-49.26,-43.21,104.0,,,0.45,0.53,,
Terrace Marshall,LV,24,WR,63.59,7.1,56.49,697.45,105.0,,,1.05,0.36,,
Tylan Wallace,BAL,25,WR,63.59,3.7,59.89,1274.15,106.0,,,1.25,0.49,,
Robert Woods,HOU,32,WR,60.33,37.3,23.03,60.12,107.0,,,-1.0,0.62,,
Troy Franklin,DEN,21,WR,59.25,65.1,-5.85,-8.84,108.0,,,-0.65,0.35,,
Tyler Boyd,TEN,30,WR,59.21,72.3,-13.09,-17.86,109.0,5.0,-104.0,-0.25,0.75,768.0,0.08
Keenan Allen,CHI,32,WR,58.6,184.4,-125.8,-67.85,110.0,,,-12.8,0.87,,
JuJu Smith-Schuster,KC,28,WR,58.58,11.6,46.98,372.82,111.0,,,1.8,0.54,,
Ryan Flournoy,DAL,25,WR,57.03,17.2,39.83,218.84,112.0,,,-1.85,0.09,,
Zay Flowers,BAL,24,WR,56.42,209.5,-153.08,-72.72,113.0,,,-6.1,0.2,,
Andrei Iosivas,CIN,25,WR,55.0,117.9,-62.9,-52.9,114.0,,,-5.55,0.86,,
Jamari Thrash,CLE,24,WR,51.92,5.2,46.72,753.49,115.0,,,,0.17,,
Kendrick Bourne,NE,29,WR,51.85,60.6,-8.75,-14.21,116.0,,,-0.3,0.38,,
Chris Olave,NO,24,WR,48.27,71.7,-23.43,-32.23,117.0,,,1.9,0.1,,
Allen Robinson,DET,31,WR,46.49,4.8,41.69,718.77,118.0,,,0.7,0.11,,
Tutu Atwell,LA,25,WR,46.45,2.8,43.65,1148.68,119.0,,,0.3,0.03,,
Cedric Tillman,CLE,24,WR,44.32,73.4,-29.08,-39.09,120.0,,,-7.85,0.53,,
Tim Patrick,DET,31,WR,43.78,-0.8,44.58,22291.41,121.0,,,-0.4,0.43,,
Jordan Whittington,LA,24,WR,42.77,2.2,40.57,1267.81,122.0,,,0.3,0.15,,
Javon Baker,NE,22,WR,41.96,2.2,39.76,1242.58,123.0,,,1.1,0.61,,
Jalen Brooks,DAL,24,WR,41.87,31.7,10.17,31.11,124.0,,,0.6,0.21,,
Keon Coleman,BUF,21,WR,40.8,3.7,37.1,789.33,125.0,,,-1.9,0.53,,
Brandin Cooks,DAL,31,WR,39.95,24.3,15.65,61.86,126.0,,,-0.5,0.82,,
Treylon Burks,TEN,24,WR,38.95,5.5,33.45,514.68,127.0,,,0.05,0.16,,
